unique_id,ds,y
EMBASSY PARK_11KV LUMAX,2026-05-11 19:54:00,1.89
EMBASSY PARK_11KV LUMAX,2026-05-11 19:57:00,1.96
EMBASSY PARK_11KV LUMAX,2026-05-11 20:00:00,1.88
EMBASSY PARK_11KV LUMAX,2026-05-11 20:03:00,1.84
EMBASSY PARK_11KV LUMAX,2026-05-11 20:06:00,1.99
EMBASSY PARK_11KV LUMAX,2026-05-11 20:09:00,1.81
EMBASSY PARK_11KV LUMAX,2026-05-11 20:12:00,1.93
EMBASSY PARK_11KV LUMAX,2026-05-11 20:15:00,1.9
EMBASSY PARK_11KV LUMAX,2026-05-11 20:18:00,1.92
EMBASSY PARK_11KV LUMAX,2026-05-11 20:21:00,1.88
EMBASSY PARK_11KV LUMAX,2026-05-11 20:24:00,1.9
EMBASSY PARK_11KV LUMAX,2026-05-11 20:27:00,2.03
EMBASSY PARK_11KV LUMAX,2026-05-11 20:30:00,1.8
EMBASSY PARK_11KV LUMAX,2026-05-11 20:33:00,1.84
EMBASSY PARK_11KV LUMAX,2026-05-11 20:36:00,1.81
EMBASSY PARK_11KV LUMAX,2026-05-11 20:39:00,1.75
