unique_id,ds,y,IR,IY,IB,VRY,VYB,VBR,hour,day
,2026-11-05 02:57:00,1.45,78.2,79.8,78.3,11.0,11.0,11.0,2,3
,2026-11-05 03:00:00,1.45,85.3,87.1,86.3,11.0,11.0,11.0,3,3
,2026-11-05 03:00:00,277.0,13.9,16.0,14.1,11.2,11.2,11.2,3,3
,2026-11-05 03:00:00,1.35,70.9,73.5,69.4,11.0,10.9,11.0,3,3
,2026-11-05 03:00:00,2.03,118.0,110.0,116.0,11.0,10.9,11.0,3,3
,2026-11-05 03:00:00,1.27,68.5,64.4,69.8,11.1,11.0,11.0,3,3
,2026-11-05 03:03:00,1.5,85.3,87.1,86.3,11.0,11.0,11.0,3,3
,2026-11-05 03:03:00,2.03,120.0,112.0,117.0,11.0,10.9,11.0,3,3
,2026-11-05 03:03:00,1.35,71.8,73.3,68.7,10.9,10.9,11.0,3,3
,2026-11-05 03:03:00,1.27,68.0,65.0,69.5,11.0,11.0,11.0,3,3
,2026-11-05 03:03:00,267.0,13.9,16.0,14.1,11.2,11.2,11.2,3,3
,2026-11-05 03:06:00,266.0,13.8,15.8,14.1,11.2,11.2,11.2,3,3
,2026-11-05 03:06:00,1.35,70.5,73.4,69.2,11.0,10.9,11.0,3,3
,2026-11-05 03:06:00,1.26,66.8,64.0,67.9,11.1,11.0,11.1,3,3
,2026-11-05 03:06:00,1.44,80.0,83.8,82.5,11.0,11.0,11.0,3,3
,2026-11-05 03:06:00,2.03,119.0,111.0,117.0,11.0,10.9,11.0,3,3
,2026-11-05 03:09:00,1.42,79.0,79.9,79.1,11.0,11.0,11.0,3,3
,2026-11-05 03:09:00,276.0,13.7,15.9,14.0,11.2,11.2,11.2,3,3
,2026-11-05 03:09:00,1.36,73.3,74.6,70.5,11.0,10.9,10.9,3,3
,2026-11-05 03:09:00,1.26,67.5,64.8,69.9,11.0,11.0,11.1,3,3
,2026-11-05 03:09:00,2.01,119.0,110.0,116.0,11.0,10.9,11.0,3,3
,2026-11-05 03:12:00,2.04,116.0,111.0,114.0,11.0,10.9,11.0,3,3
,2026-11-05 03:12:00,283.0,13.7,15.9,14.0,11.1,11.2,11.2,3,3
,2026-11-05 03:12:00,1.39,74.1,75.6,71.6,11.0,10.9,11.0,3,3
,2026-11-05 03:12:00,1.26,66.7,63.9,68.7,11.0,11.0,11.1,3,3
,2026-11-05 03:12:00,1.43,79.0,79.9,79.1,11.0,11.0,11.0,3,3
